iteration,examples,new_examples,opponent_examples,policy_loss,value_loss,self_play_games,opponent_games,mcts_sims,reward_weight,learn_after_step,opponent_learn_after_step,learn_opponent_wins
1,2440,2440,2440,1.3563236491038249,0.48473813085076517,0,20,120,0.05,4,0,1
2,4888,2448,2448,0.7272790263031984,0.2189006173571983,0,20,120,0.05,4,0,1
